Kingdom,Phylum,Class,Order,Family,Genus,Total_Plasmids,replication_Replication_Initiator_prevalence_pct,replication_Maintenance_Partition_prevalence_pct,replication_DNA_repair_and_recombination_prevalence_pct,replication_Machinery_Elongation_prevalence_pct,transcription_Transcription_regulation_prevalence_pct,transcription_Initiation_and_promoter_recognition_prevalence_pct,transcription_Termination_and_anti_termination_prevalence_pct,transcription_Core_transcription_machinery_prevalence_pct,translation_tRNA_prevalence_pct,translation_Regulation_and_Control_prevalence_pct,translation_aaRS_prevalence_pct,translation_Ribosomal_RNA_prevalence_pct,translation_Ribosomal_proteins_prevalence_pct,translation_Ribosome_assembly_and_maturation_prevalence_pct
Unknown,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,27,100.0,0.0,11.11111111111111,18.51851851851852,18.51851851851852,0.0,0.0,0.0,18.51851851851852,0.0,0.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,33,48.484848484848484,36.36363636363637,27.27272727272727,48.484848484848484,87.87878787878788,33.33333333333333,0.0,0.0,9.090909090909092,3.0303030303030303,9.090909090909092,3.0303030303030303,3.0303030303030303,0.0
Unknown,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,955,35.39267015706806,56.2303664921466,33.50785340314136,34.031413612565444,90.78534031413612,47.225130890052355,2.1989528795811517,0.10471204188481677,15.078534031413612,5.968586387434556,8.795811518324607,0.5235602094240838,3.56020942408377,1.8848167539267016
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Clavibacter,49,20.408163265306122,32.6530612244898,4.081632653061225,0.0,67.3469387755102,6.122448979591836,0.0,0.0,0.0,8.16326530612245,0.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Curtobacterium,45,8.88888888888889,24.444444444444443,8.88888888888889,4.444444444444445,82.22222222222221,37.77777777777778,0.0,0.0,11.11111111111111,4.444444444444445,31.11111111111111,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microbacterium,21,0.0,19.047619047619047,38.095238095238095,9.523809523809524,76.19047619047619,38.095238095238095,4.761904761904762,4.761904761904762,14.285714285714285,4.761904761904762,23.809523809523807,0.0,4.761904761904762,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,47,4.25531914893617,51.06382978723404,40.42553191489361,12.76595744680851,91.48936170212765,27.659574468085108,4.25531914893617,0.0,21.27659574468085,12.76595744680851,6.382978723404255,8.51063829787234,4.25531914893617,2.127659574468085
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter,16,12.5,0.0,6.25,0.0,81.25,6.25,0.0,0.0,0.0,18.75,6.25,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria,12,16.666666666666664,8.333333333333332,33.33333333333333,0.0,75.0,0.0,0.0,0.0,25.0,8.333333333333332,0.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,40,2.5,57.49999999999999,30.0,5.0,90.0,25.0,0.0,0.0,7.5,5.0,0.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,31,3.225806451612903,67.74193548387096,35.483870967741936,12.903225806451612,67.74193548387096,25.806451612903224,3.225806451612903,0.0,9.67741935483871,6.451612903225806,3.225806451612903,3.225806451612903,3.225806451612903,0.0
Unknown,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,15,60.0,6.666666666666667,6.666666666666667,0.0,46.666666666666664,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,100,81.0,7.000000000000001,5.0,15.0,51.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0
Unknown,Actinomycetota,Actinomycetes,Mycobacteriales,Dietziaceae,Dietzia,18,0.0,5.555555555555555,0.0,38.88888888888889,83.33333333333334,11.11111111111111,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0
